#Parameters = {R=70}
#"Wavelength / nm"	"Total ACS [pw] (R=70) [Magnitude / nm^2]"
#------------------------------------------------------------
749.48114500000	196.62476701911
745.75238308458	206.84808269268
742.06053960396	217.30340561103
738.40506896552	228.25269532542
734.78543627451	239.76564903206
731.20111707317	251.86990673168
727.65159708738	265.82066794108
724.13637198068	281.95451035022
720.65494711538	299.00467774173
717.20683732057	317.02300326183
713.79156666667	336.04002243935
710.40866824645	356.30713907406
707.05768396226	377.77829847767
703.73816431925	400.48686135196
700.44966822430	424.71434092324
697.19176279070	450.41195390412
693.96402314815	477.91399008099
690.76603225806	507.06446638576
687.59738073394	538.58639106382
684.45766666667	572.82853224191
681.34649545455	609.50579893385
678.26347963801	648.98554678131
675.20823873874	691.42267369262
672.18039910314	737.20380648131
669.17959375000	786.68469939097
666.20546222222	840.17779218987
663.25765044248	898.11870702896
660.33581057269	961.11363039671
657.43960087719	1029.5645679404
654.56868558952	1104.1442091388
651.72273478261	1191.4170371436
648.90142424242	1303.3464265571
646.10443534483	1426.7577318108
643.33145493562	1563.0903706042
640.58217521368	1713.8836193365
637.85629361702	1881.1075197395
635.15351271186	2066.8118543399
632.47354008439	2273.3146502385
629.81608823529	2503.1869630831
627.18087447699	2759.2926976801
624.56762083333	3044.6498984332
621.97605394191	3362.3924301108
619.40590495868	3722.5392334956
616.85690946502	4152.6887336522
614.32880737705	4630.1381544227
611.82134285714	5156.9861430202
609.33426422764	5733.5503314885
606.86732388664	6357.3392191385
604.42027822581	7022.4295676880
601.99288755020	7717.7058224481
599.58491600000	8426.5665288023
597.19613147410	9126.2767876151
594.82630555556	9788.8161561254
592.47521343874	10383.148685570
590.14263385827	10864.798902113
587.82834901961	11104.185615432
585.53214453125	11191.018544063
583.25380933852	11122.979515545
580.99313565891	10911.217687287
578.74991891892	10578.009040797
576.52395769231	10151.622059927
574.31505363985	9662.5731456796
572.12301145038	9139.0458599963
569.94763878327	8604.9517324196
567.78874621212	8078.7504360072
565.64614716981	7573.5393478946
563.51965789474	7105.8221587009
561.40909737828	6861.7656877779
559.31428731343	6629.2789351132
557.23505204461	6412.0750271264
555.17121851852	6212.3568960890
553.12261623616	6031.2210959160
551.08907720588	5868.8536424052
549.07043589744	5725.2181641292
547.06652919708	5599.7582011154
545.07719636364	5491.9654173786
543.10227898551	5400.9701952281
541.14162093863	5326.0963950400
539.19506834532	5266.6113542845
537.26246953405	5187.8713795471
535.34367500000	5124.7978198052
533.43853736655	5078.2634143962
531.54691134752	5047.3792435618
529.66865371025	5031.5340871600
527.80362323944	5029.7000704425
525.95168070175	5041.7869656349
524.11268881119	5067.1629278513
522.28651219512	5105.5639421905
520.47301736111	5156.7190371482
518.67207266436	5220.4402872857
516.88354827586	5296.6050346445
515.10731615120	5394.6542626433
513.34325000000	5508.3182286763
511.59122525597	5636.1204637222
509.85111904762	5778.2130495334
508.12281016949	5934.8809112922
506.40617905405	6106.4369910377
504.70110774411	6293.2398942534
503.00747986577	6495.7163590915
501.32518060201	6714.2606761042
499.65409666667	6949.5389576725
497.99411627907	7202.0298571112
496.34512913907	7472.5727486941
494.70702640264	7800.6090918442
493.07970065789	8166.6636527399
491.46304590164	8558.5618104795
489.85695751634	8978.3338995316
488.26133224756	9428.5991912912
486.67606818182	9912.6857458887
485.10106472492	10435.186971707
483.53622258065	11002.002268365
481.98144372990	11621.086106167
480.43663141026	12303.115588974
478.90169009585	13062.370106876
477.37652547771	13917.603952065
475.86104444444	15103.910726755
474.35515506329	16564.197095947
472.85876656151	18247.467708353
471.37178930818	20193.197447166
469.89413479624	22424.334381294
468.42571562500	24919.389719835
466.96644548287	27571.030376749
465.51623913043	30146.900971420
464.07501238390	32294.265080059
462.64268209877	33635.480970368
461.21916615385	33936.022675407
459.80438343558	33225.009067685
458.39825382263	31655.682353904
457.00069817073	29526.147918540
455.61163829787	27265.410743695
454.23099696970	25113.347920878
452.85869788520	23180.154180803
451.49466566265	21494.569155247
450.13882582583	20044.895201806
448.79110479042	18803.995229238
447.45142985075	17741.595858882
446.11972916667	16830.019347202
444.79593175074	16045.862085924
443.47996745562	15370.088028983
442.17176696165	14765.115218792
440.87126176471	14231.240922706
439.57838416422	13786.601062739
438.29306725146	13422.471773333
437.01524489796	13133.414113647
435.74485174419	12916.045487270
434.48182318841	12769.603785836
433.22609537572	12694.752246689
431.97760518732	12694.235225101
430.73629022989	12772.639549293
429.50208882521	12936.274599869
428.27494000000	13193.078860241
427.05478347578	13607.240059065
425.84155965909	14251.797343654
424.63520963173	15053.184593878
423.43567514124	16015.000796886
422.24289859155	17127.649108404
421.05682303371	18354.857892167
419.87739215686	19631.031124709
418.70455027933	20859.053050834
417.53824233983	21925.653235684
416.37841388889	22731.059879206
415.22501108033	23218.836906826
414.07798066298	23391.058768560
412.93726997245	23270.355661633
411.80282692308	22870.483571758
410.67460000000	22353.282550284
409.55253825137	21818.816436749
408.43659128065	21333.224331286
407.32670923913	20930.649767819
406.22284281843	20616.994583343
405.12494324324	20378.058210901
404.03296226415	20187.388546520
402.94685215054	20014.812587270
401.86656568365	19833.008385262
400.79205614973	19622.251868556
399.72327733333	19368.646838923
