#Parameters = {R=150}
#"Wavelength / nm"	"Total ACS [pw] (R=150) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	6861.3871896965
745.75238308458	6705.0864667314
742.06053960396	6604.7851023831
738.40506896552	6556.9232015655
734.78543627451	6560.6025631869
731.20111707317	6618.1931333317
727.65159708738	6758.5708478771
724.13637198068	6993.4482336786
720.65494711538	7301.9211805848
717.20683732057	7695.0722129738
713.79156666667	8185.5328568513
710.40866824645	8788.0265978241
707.05768396226	9517.4473781249
703.73816431925	10388.079132610
700.44966822430	11409.562186740
697.19176279070	12582.011548834
693.96402314815	13889.228999287
690.76603225806	15290.442868292
687.59738073394	16731.510543805
684.45766666667	18125.317176334
681.34649545455	19337.257066382
678.26347963801	20281.234398975
675.20823873874	20930.784820921
672.18039910314	21344.831195373
669.17959375000	21670.499011267
666.20546222222	22139.230075377
663.25765044248	23083.598800993
660.33581057269	25004.876618048
657.43960087719	28713.814023532
654.56868558952	35437.038943720
651.72273478261	46175.144999193
648.90142424242	56737.661670834
646.10443534483	55190.901473620
643.33145493562	44255.839852167
640.58217521368	34190.780315677
637.85629361702	27523.334836915
635.15351271186	23389.829720377
632.47354008439	20835.263849070
629.81608823529	19265.501487532
627.18087447699	18341.571933141
624.56762083333	17867.289490487
621.97605394191	17722.902364828
619.40590495868	17853.565265780
616.85690946502	18279.676283289
614.32880737705	18835.830887012
611.82134285714	19458.990751449
609.33426422764	20081.777284780
606.86732388664	20642.392802195
604.42027822581	21090.158748986
601.99288755020	21403.693393533
599.58491600000	21594.716454023
597.19613147410	21710.661758447
594.82630555556	21829.730163786
592.47521343874	22053.581826647
590.14263385827	22473.433338962
587.82834901961	23014.189318461
585.53214453125	24196.648335739
583.25380933852	26365.707584853
580.99313565891	30067.541841812
578.74991891892	36126.833823873
576.52395769231	45478.599773816
574.31505363985	57809.585070398
572.12301145038	68197.746212956
569.94763878327	68608.003492108
567.78874621212	59956.675558436
565.64614716981	50456.111381793
563.51965789474	44903.100779239
561.40909737828	45702.605818847
559.31428731343	50585.633510134
557.23505204461	50859.485117308
555.17121851852	43289.325830523
553.12261623616	36011.152964426
551.08907720588	31594.449419433
549.07043589744	29270.900202967
547.06652919708	28259.422355027
545.07719636364	28124.387483742
543.10227898551	28648.483732036
541.14162093863	29725.738103134
539.19506834532	31318.593306388
537.26246953405	33331.554815333
535.34367500000	35885.622955289
533.43853736655	38950.721373630
531.54691134752	42436.457436925
529.66865371025	46135.888662417
527.80362323944	49700.134106926
525.95168070175	52674.624160299
524.11268881119	54641.088360567
522.28651219512	55384.393492620
520.47301736111	55014.975698464
518.67207266436	53888.630882759
516.88354827586	52479.094401725
515.10731615120	51206.275397954
513.34325000000	50550.466471738
511.59122525597	50905.571093224
509.85111904762	52410.027980134
508.12281016949	54170.734550837
506.40617905405	54109.313743968
504.70110774411	51687.690287453
503.00747986577	48651.775167202
501.32518060201	46019.591742215
499.65409666667	43633.036602639
497.99411627907	41526.053261183
496.34512913907	39939.438233757
494.70702640264	39037.475588518
493.07970065789	38792.554157103
491.46304590164	39098.965119678
489.85695751634	39906.682835668
488.26133224756	41192.477563432
486.67606818182	42975.852335233
485.10106472492	45299.411545614
483.53622258065	48228.761236451
481.98144372990	51850.687472628
480.43663141026	56226.708498484
478.90169009585	61342.438796444
477.37652547771	66971.057043309
475.86104444444	73089.624725041
474.35515506329	78058.538918368
472.85876656151	80638.064828605
471.37178930818	80879.291516303
469.89413479624	79607.351800236
468.42571562500	77774.661020181
466.96644548287	75974.593570194
465.51623913043	74427.999731483
464.07501238390	73178.157577040
462.64268209877	72228.447819243
461.21916615385	71585.537810405
459.80438343558	71263.221256273
458.39825382263	71180.369282533
457.00069817073	71461.391680690
455.61163829787	72216.923265258
454.23099696970	73422.837779440
452.85869788520	74987.846527058
451.49466566265	76767.230548979
450.13882582583	78576.863204627
448.79110479042	80220.588382823
447.45142985075	81570.841328599
446.11972916667	82563.911899015
444.79593175074	83222.960526828
443.47996745562	83599.028780522
442.17176696165	83706.954708789
440.87126176471	83438.283175682
439.57838416422	82711.389230814
438.29306725146	81629.688571322
437.01524489796	80420.368483184
435.74485174419	79292.680370992
434.48182318841	78334.782154997
433.22609537572	77517.413200060
431.97760518732	76770.869218495
430.73629022989	76017.294959995
429.50208882521	75231.579528092
428.27494000000	74475.002825908
427.05478347578	73840.093850994
425.84155965909	73476.245377057
424.63520963173	73400.268637436
423.43567514124	73570.928803030
422.24289859155	73869.362674476
421.05682303371	74175.720298928
419.87739215686	74424.082720449
418.70455027933	74664.568833586
417.53824233983	74983.094234728
416.37841388889	75442.250397959
415.22501108033	76071.276110519
414.07798066298	76834.849529931
412.93726997245	77738.229346539
411.80282692308	78693.301393267
410.67460000000	79313.491130740
409.55253825137	79554.058489784
408.43659128065	79483.004075175
407.32670923913	79216.376867191
406.22284281843	78861.306296371
405.12494324324	78505.812247778
404.03296226415	78207.035133229
402.94685215054	77990.013120184
401.86656568365	77859.299897726
400.79205614973	77795.350465177
399.72327733333	77788.849016399
