#Parameters = {R=130}
#"Wavelength / nm"	"Total RCS [pw] (R=130) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	230027.35658165
745.75238308458	229282.90381173
742.06053960396	229641.23822299
738.40506896552	231664.50319524
734.78543627451	236090.47318308
731.20111707317	243794.02901452
727.65159708738	255708.98837854
724.13637198068	272194.36429099
720.65494711538	291583.21601057
717.20683732057	309015.78074620
713.79156666667	316976.72704138
710.40866824645	309990.87525789
707.05768396226	289330.67471871
703.73816431925	261417.98278673
700.44966822430	232545.10377533
697.19176279070	206256.69449753
693.96402314815	183746.21687287
690.76603225806	164993.05308246
687.59738073394	149368.03386281
684.45766666667	136330.53740158
681.34649545455	125702.51094302
678.26347963801	117071.53343915
675.20823873874	110115.44436403
672.18039910314	104585.57569004
669.17959375000	100290.37504434
666.20546222222	97082.095502378
663.25765044248	94846.977293253
660.33581057269	93498.395174417
657.43960087719	92971.914874704
654.56868558952	93222.042310455
651.72273478261	94207.637226118
648.90142424242	95921.973197479
646.10443534483	98410.948168133
643.33145493562	101684.20063367
640.58217521368	105763.54290824
637.85629361702	110679.05299726
635.15351271186	116463.40638875
632.47354008439	123142.13860454
629.81608823529	130717.29665461
627.18087447699	139142.08978053
624.56762083333	148282.89038542
621.97605394191	157868.30611131
619.40590495868	167428.47725891
616.85690946502	176189.89535913
614.32880737705	183130.60719552
611.82134285714	187110.16162014
609.33426422764	187123.71681361
606.86732388664	182649.69965180
604.42027822581	173916.57972153
601.99288755020	161907.79005553
599.58491600000	148063.97694976
597.19613147410	133887.99768137
594.82630555556	120655.37386270
592.47521343874	109333.06719227
590.14263385827	100676.11536013
587.82834901961	95534.955155313
585.53214453125	94822.928056217
583.25380933852	97492.472846696
580.99313565891	97104.863647151
578.74991891892	87485.590020165
576.52395769231	73587.725542505
574.31505363985	61621.421391325
572.12301145038	52786.806722593
569.94763878327	46393.069970829
567.78874621212	41702.747475196
565.64614716981	38239.686199054
563.51965789474	35737.182242376
561.40909737828	34047.085903893
559.31428731343	33265.981310168
557.23505204461	33424.216934989
555.17121851852	34588.672214860
553.12261623616	36823.092722390
551.08907720588	40147.830507701
549.07043589744	44502.340725634
547.06652919708	49722.128129803
545.07719636364	55546.377472026
543.10227898551	61655.157807885
541.14162093863	67730.516192896
539.19506834532	73509.710834652
537.26246953405	79193.833374008
535.34367500000	84309.474867826
533.43853736655	88844.047724680
531.54691134752	92883.096567513
529.66865371025	96565.626044486
527.80362323944	100066.65669424
525.95168070175	103580.31643131
524.11268881119	107296.29101601
522.28651219512	111314.34794821
520.47301736111	115412.57313107
518.67207266436	118662.50436782
516.88354827586	119565.98420645
515.10731615120	117476.37175001
513.34325000000	114014.02002806
511.59122525597	111152.54553131
509.85111904762	109540.10331409
508.12281016949	108966.51694053
506.40617905405	108970.52515759
504.70110774411	109177.57881031
503.00747986577	109547.08528209
501.32518060201	110135.71031259
499.65409666667	110955.16797578
497.99411627907	111988.04091908
496.34512913907	113231.49309386
494.70702640264	114762.28241522
493.07970065789	116597.17591184
491.46304590164	118762.39889280
489.85695751634	121339.61581947
488.26133224756	124426.32085905
486.67606818182	128107.19445062
485.10106472492	132406.63519102
483.53622258065	137245.32065521
481.98144372990	142334.07241888
480.43663141026	147205.94541301
478.90169009585	151294.92547003
477.37652547771	154163.43172172
475.86104444444	154904.18518349
474.35515506329	153925.32764793
472.85876656151	151902.08343749
471.37178930818	149256.31837908
469.89413479624	146313.50293088
468.42571562500	143298.79947760
466.96644548287	140341.01081412
465.51623913043	137525.60555347
464.07501238390	134908.06720822
462.64268209877	132508.64262817
461.21916615385	130301.02763899
459.80438343558	128220.78740015
458.39825382263	126164.31052348
457.00069817073	124065.00299633
455.61163829787	121868.09492512
454.23099696970	119505.03562482
452.85869788520	116903.78261207
451.49466566265	114037.64249801
450.13882582583	110864.68034800
448.79110479042	107379.09998594
447.45142985075	103602.27478331
446.11972916667	99571.670671142
444.79593175074	95364.599323609
443.47996745562	91051.477478675
442.17176696165	86400.160804476
440.87126176471	81437.747257837
439.57838416422	76605.418002620
438.29306725146	72006.670530118
437.01524489796	67761.902944976
435.74485174419	64091.937873953
434.48182318841	61182.608487824
433.22609537572	59191.482736113
431.97760518732	58193.608127145
430.73629022989	58174.362083486
429.50208882521	59030.279284922
428.27494000000	60598.115771783
427.05478347578	62832.162081704
425.84155965909	65645.833653873
424.63520963173	68467.597067829
423.43567514124	71063.167547000
422.24289859155	73244.083643470
421.05682303371	74901.818254270
419.87739215686	76025.926409054
418.70455027933	76699.147242153
417.53824233983	77069.361779040
416.37841388889	77310.803327490
415.22501108033	77579.014215256
414.07798066298	77989.948079922
412.93726997245	78677.139894086
411.80282692308	79853.120010145
410.67460000000	81368.409532380
409.55253825137	83100.428576481
408.43659128065	84901.580400891
407.32670923913	86627.780187543
406.22284281843	88153.820531129
405.12494324324	89397.961901429
404.03296226415	90317.692907494
402.94685215054	90909.522424050
401.86656568365	91188.207188936
400.79205614973	91179.709244959
399.72327733333	90826.179224039
