#
#"Frequency / THz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	732.13315516958
401.00000000000	779.06333352094
402.00000000000	804.99675234708
403.00000000000	809.75988189878
404.00000000000	794.92401817084
405.00000000000	763.70103502238
406.00000000000	720.62474608588
407.00000000000	671.09057122047
408.00000000000	620.91620074282
409.00000000000	575.82741047939
410.00000000000	541.01662620517
411.00000000000	520.70841448780
412.00000000000	517.85556859546
413.00000000000	533.90809863582
414.00000000000	568.78577343067
415.00000000000	620.90105086231
416.00000000000	687.35334832287
417.00000000000	764.22627678109
418.00000000000	846.91434894310
419.00000000000	930.55582091628
420.00000000000	1010.4340549002
421.00000000000	1082.3881076856
422.00000000000	1143.1131742019
423.00000000000	1190.4770990326
424.00000000000	1223.6169944273
425.00000000000	1243.0018453890
426.00000000000	1250.3675246240
427.00000000000	1248.5490608622
428.00000000000	1241.2038478336
429.00000000000	1232.4989854257
430.00000000000	1226.7989833573
431.00000000000	1228.2635949030
432.00000000000	1240.5064601495
433.00000000000	1266.3558139101
434.00000000000	1307.6132514081
435.00000000000	1364.9490836264
436.00000000000	1437.8819696315
437.00000000000	1524.8646830330
438.00000000000	1623.4487636226
439.00000000000	1730.4978076637
440.00000000000	1842.5162986817
441.00000000000	1955.9220238889
442.00000000000	2067.4046840717
443.00000000000	2174.1468880790
444.00000000000	2274.1783002785
445.00000000000	2366.4457835815
446.00000000000	2450.9338328606
447.00000000000	2528.6795824742
448.00000000000	2601.6572305295
449.00000000000	2672.6525188904
450.00000000000	2744.9963835265
451.00000000000	2822.3552698406
452.00000000000	2908.3761395696
453.00000000000	3006.4488645930
454.00000000000	3119.3939498458
455.00000000000	3249.2974194997
456.00000000000	3397.3249619729
457.00000000000	3563.6568652233
458.00000000000	3747.5139910802
459.00000000000	3947.2101882423
460.00000000000	4160.2998117594
461.00000000000	4383.7943846790
462.00000000000	4614.3942402644
463.00000000000	4848.7505401224
464.00000000000	5083.6790091126
465.00000000000	5316.4612134820
466.00000000000	5544.9469892825
467.00000000000	5767.6942833150
468.00000000000	5984.0003021111
469.00000000000	6193.8991839422
470.00000000000	6398.0367531885
471.00000000000	6597.5027570927
472.00000000000	6793.7027006887
473.00000000000	6988.0442403335
474.00000000000	7181.7267967817
475.00000000000	7375.5257998602
476.00000000000	7569.5881791467
477.00000000000	7763.3017666957
478.00000000000	7955.2109578644
479.00000000000	8143.0741354364
480.00000000000	8323.8647471432
481.00000000000	8493.9588519384
482.00000000000	8649.3427660212
483.00000000000	8785.8425655930
484.00000000000	8899.4353331837
485.00000000000	8986.5132723749
486.00000000000	9044.1661879526
487.00000000000	9070.3984300082
488.00000000000	9064.2909386726
489.00000000000	9026.1254208200
490.00000000000	8957.3712819932
491.00000000000	8860.6574395799
492.00000000000	8739.6010691402
493.00000000000	8598.6145166760
494.00000000000	8442.6270366883
495.00000000000	8276.7996143441
496.00000000000	8106.1987237499
497.00000000000	7935.5093272048
498.00000000000	7768.7502840854
499.00000000000	7609.0790863427
500.00000000000	7458.6271071584
501.00000000000	7318.4339818665
502.00000000000	7188.4733452352
503.00000000000	7067.7287045025
504.00000000000	6954.3739012203
505.00000000000	6845.9931285172
506.00000000000	6739.8562322632
507.00000000000	6633.1617914097
508.00000000000	6523.3617516937
509.00000000000	6408.3961740217
510.00000000000	6286.8843001954
511.00000000000	6158.2891647505
512.00000000000	6022.9810275725
513.00000000000	5882.2292856374
514.00000000000	5738.0910551460
515.00000000000	5593.2849271551
516.00000000000	5450.9645914621
517.00000000000	5314.4700229640
518.00000000000	5187.0474729704
519.00000000000	5071.5938279909
520.00000000000	4970.4176591547
521.00000000000	4885.0075000487
522.00000000000	4815.9437568745
523.00000000000	4762.8196733427
524.00000000000	4724.2619944404
525.00000000000	4698.0417899413
526.00000000000	4681.2267808593
527.00000000000	4670.4430890150
528.00000000000	4662.0801187624
529.00000000000	4652.6356956160
530.00000000000	4638.9776316349
531.00000000000	4618.5933143350
532.00000000000	4589.8047673037
533.00000000000	4551.9047199582
534.00000000000	4505.2343673779
535.00000000000	4451.1130593546
536.00000000000	4391.7827451869
537.00000000000	4330.2163821709
538.00000000000	4269.8729316720
539.00000000000	4214.4148066331
540.00000000000	4167.4022750069
541.00000000000	4132.0148068609
542.00000000000	4110.7222507254
543.00000000000	4105.1231404922
544.00000000000	4115.7735412811
545.00000000000	4142.1279925439
546.00000000000	4182.5555362259
547.00000000000	4234.4617748267
548.00000000000	4294.5023630924
549.00000000000	4358.7856220525
550.00000000000	4423.2521740292
551.00000000000	4483.9788736766
552.00000000000	4537.5166466460
553.00000000000	4581.1869864083
554.00000000000	4613.3225477295
555.00000000000	4633.4601193655
556.00000000000	4642.3380363279
557.00000000000	4641.9431719156
558.00000000000	4635.3454895465
559.00000000000	4626.4909137749
560.00000000000	4619.8863233053
561.00000000000	4620.2556786120
562.00000000000	4632.1714933943
563.00000000000	4659.6201188380
564.00000000000	4705.7107731746
565.00000000000	4772.3872885100
566.00000000000	4860.2320523593
567.00000000000	4968.3764750760
568.00000000000	5094.5469838130
569.00000000000	5235.2325850207
570.00000000000	5385.8771017249
571.00000000000	5541.3066129353
572.00000000000	5696.1296783057
573.00000000000	5845.1935565387
574.00000000000	5984.0382420829
575.00000000000	6109.3168668305
576.00000000000	6219.1695766003
577.00000000000	6313.3613558262
578.00000000000	6393.4929903535
579.00000000000	6462.9336741546
580.00000000000	6526.6398509640
581.00000000000	6590.8393366583
582.00000000000	6662.5967574473
583.00000000000	6749.3275542302
584.00000000000	6858.1179523484
585.00000000000	6995.2581115835
586.00000000000	7165.6755552526
587.00000000000	7372.4908790635
588.00000000000	7616.7094830873
589.00000000000	7897.0707974168
590.00000000000	8210.1298771830
591.00000000000	8550.3713961548
592.00000000000	8910.7452675312
593.00000000000	9283.2239864601
594.00000000000	9659.5160627684
595.00000000000	10031.879265530
596.00000000000	10393.939485394
597.00000000000	10741.541182875
598.00000000000	11073.278736662
599.00000000000	11391.174556730
600.00000000000	11700.929223497
601.00000000000	12011.978505309
602.00000000000	12337.247625682
603.00000000000	12692.632611431
604.00000000000	13096.242591629
605.00000000000	13567.198392618
606.00000000000	14124.555942126
607.00000000000	14785.900756172
608.00000000000	15565.962217261
609.00000000000	16475.264805411
610.00000000000	17518.944233128
611.00000000000	18695.848352935
612.00000000000	19997.657340245
613.00000000000	21408.807536106
614.00000000000	22906.539273951
615.00000000000	24461.425601511
616.00000000000	26038.331547173
617.00000000000	27597.734016070
618.00000000000	29097.480122529
619.00000000000	30494.337027093
620.00000000000	31746.309498633
621.00000000000	32814.577400440
622.00000000000	33665.419927100
623.00000000000	34271.935930205
624.00000000000	34615.467669329
625.00000000000	34686.709171853
626.00000000000	34485.911368562
627.00000000000	34023.265562739
628.00000000000	33318.328727710
629.00000000000	32399.061647783
630.00000000000	31300.421372568
631.00000000000	30062.622857138
632.00000000000	28729.205855625
633.00000000000	27344.634366528
634.00000000000	25952.396384673
635.00000000000	24592.862052208
636.00000000000	23301.453753818
637.00000000000	22107.159183488
638.00000000000	21031.459806999
639.00000000000	20087.754580972
640.00000000000	19281.122049839
641.00000000000	18608.842445978
642.00000000000	18061.154597087
643.00000000000	17622.494424990
644.00000000000	17272.977327512
645.00000000000	16990.113691060
646.00000000000	16750.594411565
647.00000000000	16531.942884297
648.00000000000	16314.148096572
649.00000000000	16080.949837346
650.00000000000	15820.803529169
651.00000000000	15527.440743466
652.00000000000	15200.029904436
653.00000000000	14842.912551085
654.00000000000	14464.935630235
655.00000000000	14078.519159587
656.00000000000	13698.432426420
657.00000000000	13340.453466089
658.00000000000	13019.991331074
659.00000000000	12750.775847704
660.00000000000	12543.721795844
661.00000000000	12406.068325718
662.00000000000	12340.812925569
663.00000000000	12346.522312709
664.00000000000	12417.517851572
665.00000000000	12544.402042912
666.00000000000	12714.924441701
667.00000000000	12915.030249928
668.00000000000	13130.162052196
669.00000000000	13346.508608642
670.00000000000	13552.258237899
671.00000000000	13738.703345740
672.00000000000	13901.084353553
673.00000000000	14039.142405643
674.00000000000	14157.259023646
675.00000000000	14264.363643933
676.00000000000	14373.271065183
677.00000000000	14499.811192362
678.00000000000	14661.637340927
679.00000000000	14876.889636433
680.00000000000	15162.719904403
681.00000000000	15533.810106951
682.00000000000	16001.235989553
683.00000000000	16571.228624537
684.00000000000	17244.456995143
