#Parameters = {nanoparticle_radius=100}
#"Frequency / THz"	"Total ACS [pw] [Magnitude]"
#----------------------------------------------
300.00000000000	893.76529932863
305.00000000000	939.61134136484
310.00000000000	1009.7954088639
315.00000000000	1086.8862575762
320.00000000000	1181.1483655255
325.00000000000	1289.2811959111
330.00000000000	1418.1506531795
335.00000000000	1575.2338534604
340.00000000000	1766.6211002517
345.00000000000	2011.6595200167
350.00000000000	2319.9401511425
355.00000000000	2732.0853771392
360.00000000000	3290.1339995892
365.00000000000	4078.9330638189
370.00000000000	5251.0078116175
375.00000000000	7038.1368384361
380.00000000000	9729.9898137850
385.00000000000	13144.835390513
390.00000000000	14823.714201675
395.00000000000	13213.409818170
400.00000000000	10250.598212096
405.00000000000	7765.5465304028
410.00000000000	6267.9234194288
415.00000000000	5451.2920134855
420.00000000000	4986.1152791056
425.00000000000	4779.8666488725
430.00000000000	4783.4537859447
435.00000000000	4952.4553302592
440.00000000000	5229.0567259628
445.00000000000	5619.9426229708
450.00000000000	6110.6507132971
455.00000000000	6708.2896976469
460.00000000000	7453.9346289927
465.00000000000	8360.0225423090
470.00000000000	9450.6951227195
475.00000000000	10754.907962302
480.00000000000	12272.971623153
485.00000000000	14015.399114656
490.00000000000	15933.334060498
495.00000000000	17945.137855700
500.00000000000	19794.810291171
505.00000000000	21332.969868682
510.00000000000	23655.970718274
515.00000000000	30820.192511257
520.00000000000	58855.617080917
525.00000000000	76624.492294671
530.00000000000	35331.991087204
535.00000000000	20699.878839603
540.00000000000	15345.807502394
545.00000000000	12795.147403286
550.00000000000	11355.477113117
555.00000000000	10490.364514816
560.00000000000	9981.6078298678
565.00000000000	9692.8559885745
570.00000000000	9592.8826617653
575.00000000000	9643.9016956460
580.00000000000	9847.8722686656
585.00000000000	10316.125443706
590.00000000000	11334.884983309
595.00000000000	13585.192029761
600.00000000000	18926.996504740
605.00000000000	34025.972601243
610.00000000000	58674.131383637
615.00000000000	43512.955556885
620.00000000000	34991.541790320
625.00000000000	23742.743658802
630.00000000000	20763.747966730
635.00000000000	22853.733822078
640.00000000000	28383.269461311
645.00000000000	34458.126935334
650.00000000000	34880.342896575
655.00000000000	30248.457212532
660.00000000000	25429.912422746
665.00000000000	22239.607129942
670.00000000000	20704.386692000
675.00000000000	20805.611417177
680.00000000000	22241.271738871
685.00000000000	23201.769769590
690.00000000000	24809.989953767
695.00000000000	28479.218935978
700.00000000000	35082.608400471
705.00000000000	44773.252385067
710.00000000000	53373.167314905
715.00000000000	53456.983171377
720.00000000000	46472.303366548
725.00000000000	39982.278516769
730.00000000000	36030.494951044
735.00000000000	34761.530525034
740.00000000000	36756.237919796
745.00000000000	40938.242855845
750.00000000000	44441.700372491
