#Parameters = {nanoparticle_radius=100}
#"Frequency / THz"	"Total RCS [pw] [Magnitude]"
#----------------------------------------------
300.00000000000	13848.917680482
305.00000000000	14872.943043280
310.00000000000	16021.271955124
315.00000000000	17311.161520718
320.00000000000	18780.570703281
325.00000000000	20480.887366711
330.00000000000	22483.529685761
335.00000000000	24882.237615766
340.00000000000	27815.556447161
345.00000000000	31546.120416983
350.00000000000	36348.609284291
355.00000000000	42883.400793452
360.00000000000	52172.190552649
365.00000000000	65992.389416199
370.00000000000	87423.569791232
375.00000000000	121858.48843273
380.00000000000	177618.19784619
385.00000000000	253177.75621962
390.00000000000	310429.08810797
395.00000000000	296629.88356711
400.00000000000	239754.33588079
405.00000000000	187913.33521817
410.00000000000	153160.10956185
415.00000000000	131375.34799686
420.00000000000	118387.39336706
425.00000000000	110902.67732324
430.00000000000	107237.49010930
435.00000000000	106360.34744706
440.00000000000	107548.76486374
445.00000000000	110521.23769080
450.00000000000	115087.45054146
455.00000000000	121134.40458187
460.00000000000	128621.86324595
465.00000000000	137519.34186139
470.00000000000	147703.26062384
475.00000000000	158853.14441943
480.00000000000	170258.23436268
485.00000000000	180380.43257178
490.00000000000	186655.39528701
495.00000000000	185457.17895419
500.00000000000	173554.39522981
505.00000000000	151008.02392581
510.00000000000	122459.86801945
515.00000000000	98266.699332689
520.00000000000	100529.77464629
525.00000000000	103845.39065299
530.00000000000	50316.034861461
535.00000000000	27656.368595583
540.00000000000	18170.235468016
545.00000000000	14238.875536405
550.00000000000	13149.611317733
555.00000000000	13738.012192616
560.00000000000	15362.650427414
565.00000000000	17610.019277767
570.00000000000	20260.079656552
575.00000000000	23141.265323922
580.00000000000	26255.331368726
585.00000000000	29555.678762742
590.00000000000	33124.366350516
595.00000000000	37266.441082533
600.00000000000	42758.017024959
605.00000000000	51488.920196574
610.00000000000	57008.244002878
615.00000000000	45547.306336003
620.00000000000	42703.604416309
625.00000000000	43660.986649495
630.00000000000	46422.986363327
635.00000000000	51658.656002368
640.00000000000	61994.476734010
645.00000000000	78529.633778587
650.00000000000	92587.842879145
655.00000000000	96998.032495875
660.00000000000	95924.177623953
665.00000000000	94030.217806020
670.00000000000	92400.349049169
675.00000000000	91327.288302459
680.00000000000	90560.333211955
685.00000000000	89438.330493844
690.00000000000	87560.275448339
695.00000000000	84274.763448059
700.00000000000	78310.765298551
705.00000000000	69041.706167225
710.00000000000	58001.599686892
715.00000000000	47105.377292719
720.00000000000	39298.071742791
725.00000000000	37095.358914122
730.00000000000	38344.703258939
735.00000000000	41271.454653382
740.00000000000	44055.127335676
745.00000000000	45399.677582828
750.00000000000	45197.110040989
