#
#"Frequency / THz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	19065.238859384
401.00000000000	19363.849977359
402.00000000000	19669.851666412
403.00000000000	19982.771372364
404.00000000000	20302.075027037
405.00000000000	20627.229715498
406.00000000000	20957.764733477
407.00000000000	21293.319379982
408.00000000000	21633.561051179
409.00000000000	21978.681755336
410.00000000000	22328.928561310
411.00000000000	22684.763405864
412.00000000000	23046.852636023
413.00000000000	23416.069737644
414.00000000000	23793.416235978
415.00000000000	24179.840080536
416.00000000000	24576.686693454
417.00000000000	24985.076783582
418.00000000000	25406.078390014
419.00000000000	25840.643908169
420.00000000000	26289.559174083
421.00000000000	26753.455435603
422.00000000000	27232.629462737
423.00000000000	27727.566983553
424.00000000000	28238.418386431
425.00000000000	28765.248639238
426.00000000000	29308.077961928
427.00000000000	29866.947747854
428.00000000000	30441.990425173
429.00000000000	31033.320519500
430.00000000000	31641.608104081
431.00000000000	32267.565812879
432.00000000000	32912.208352771
433.00000000000	33576.820250578
434.00000000000	34262.997650016
435.00000000000	34972.599475895
436.00000000000	35707.583380278
437.00000000000	36470.438223177
438.00000000000	37263.598025659
439.00000000000	38089.566335018
440.00000000000	38950.856342442
441.00000000000	39849.927043673
442.00000000000	40789.147159315
443.00000000000	41770.596487726
444.00000000000	42796.538495983
445.00000000000	43868.894441229
446.00000000000	44989.445012695
447.00000000000	46159.878465192
448.00000000000	47381.827802581
449.00000000000	48656.941207603
450.00000000000	49986.806791092
451.00000000000	51373.490664631
452.00000000000	52819.077876603
453.00000000000	54325.896139829
454.00000000000	55896.522162577
455.00000000000	57533.799669603
456.00000000000	59240.757222562
457.00000000000	61020.396889942
458.00000000000	62876.046075343
459.00000000000	64810.654561857
460.00000000000	66826.807300784
461.00000000000	68926.479032322
462.00000000000	71110.789253949
463.00000000000	73379.749752914
464.00000000000	75731.873253739
465.00000000000	78164.368934859
466.00000000000	80672.440806355
467.00000000000	83249.280261171
468.00000000000	85885.957463492
469.00000000000	88571.343999094
470.00000000000	91292.141795825
471.00000000000	94032.821383835
472.00000000000	96776.242449456
473.00000000000	99503.378868460
474.00000000000	102193.85431405
475.00000000000	104826.28812880
476.00000000000	107378.75473760
477.00000000000	109829.25556058
478.00000000000	112156.12068936
479.00000000000	114338.85112505
480.00000000000	116358.23808251
481.00000000000	118196.97807852
482.00000000000	119840.09375909
483.00000000000	121275.30234306
484.00000000000	122493.30288911
485.00000000000	123487.91763945
486.00000000000	124256.41839084
487.00000000000	124799.27937816
488.00000000000	125120.22102207
489.00000000000	125226.00862449
490.00000000000	125126.23746508
