#
#"Frequency / THz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	200042.94901125
401.00000000000	201266.85091024
402.00000000000	202096.64819048
403.00000000000	202546.77956623
404.00000000000	202636.52503138
405.00000000000	202388.99004528
406.00000000000	201830.03648386
407.00000000000	200987.40854049
408.00000000000	199888.35280780
409.00000000000	198563.89795482
410.00000000000	197043.33601582
411.00000000000	195355.54988864
412.00000000000	193528.69633923
413.00000000000	191589.94640181
414.00000000000	189565.27098989
415.00000000000	187477.80218541
416.00000000000	185351.74029777
417.00000000000	183207.84082499
418.00000000000	181064.62325588
419.00000000000	178938.18174583
420.00000000000	176841.99756394
421.00000000000	174786.95387347
422.00000000000	172780.21621212
423.00000000000	170828.90592767
424.00000000000	168936.79840621
425.00000000000	167105.97480522
426.00000000000	165337.15626499
427.00000000000	163630.19955222
428.00000000000	161984.45581169
429.00000000000	160398.28481360
430.00000000000	158871.95299993
431.00000000000	157405.04775113
432.00000000000	155997.39280695
433.00000000000	154649.00799865
434.00000000000	153359.93663565
435.00000000000	152130.04806119
436.00000000000	150958.09010144
437.00000000000	149843.80619334
438.00000000000	148785.48758901
439.00000000000	147780.78066486
440.00000000000	146826.73007062
441.00000000000	145919.94155141
442.00000000000	145056.82726594
443.00000000000	144233.24952648
444.00000000000	143446.59376621
445.00000000000	142694.12818571
446.00000000000	141973.74794599
447.00000000000	141284.06515939
448.00000000000	140624.31918963
449.00000000000	139994.24527720
450.00000000000	139393.37534431
451.00000000000	138822.25761000
452.00000000000	138280.65671032
453.00000000000	137767.87062181
454.00000000000	137282.56470283
455.00000000000	136822.71673529
456.00000000000	136385.67645563
457.00000000000	135967.93621294
458.00000000000	135566.55302204
459.00000000000	135178.24223434
460.00000000000	134800.08269305
461.00000000000	134429.80768103
462.00000000000	134065.98287813
463.00000000000	133708.08111759
464.00000000000	133356.18568777
465.00000000000	133011.66515701
466.00000000000	132675.98889264
467.00000000000	132350.70173616
468.00000000000	132037.03376617
469.00000000000	131735.53398596
470.00000000000	131445.81873083
471.00000000000	131166.19061951
472.00000000000	130894.34139484
473.00000000000	130626.76144076
474.00000000000	130359.35157039
475.00000000000	130087.80419051
476.00000000000	129808.10217749
477.00000000000	129516.97540442
478.00000000000	129212.15162644
479.00000000000	128893.05378917
480.00000000000	128560.41691639
481.00000000000	128216.32518637
482.00000000000	127863.87660087
483.00000000000	127506.68912148
484.00000000000	127148.29718456
485.00000000000	126791.44494021
486.00000000000	126437.74350887
487.00000000000	126086.97194683
488.00000000000	125736.93849256
489.00000000000	125383.53502773
490.00000000000	125021.03933579
491.00000000000	124642.68171598
492.00000000000	124241.42004072
493.00000000000	123810.86841915
494.00000000000	123346.12269994
495.00000000000	122844.53860098
496.00000000000	122306.27329133
497.00000000000	121734.50212719
498.00000000000	121135.21842395
499.00000000000	120516.73145748
500.00000000000	119888.63972654
501.00000000000	119260.74619043
502.00000000000	118641.76640721
503.00000000000	118038.05059501
504.00000000000	117452.61909451
505.00000000000	116884.50682870
506.00000000000	116328.76868657
507.00000000000	115776.77644214
508.00000000000	115217.57292286
509.00000000000	114639.54904472
510.00000000000	114032.55867088
511.00000000000	113390.32512696
512.00000000000	112712.73445453
513.00000000000	112007.97637177
514.00000000000	111293.59593940
515.00000000000	110597.35124511
516.00000000000	109956.60962467
517.00000000000	109416.66716588
518.00000000000	109027.99543835
519.00000000000	108842.44894214
520.00000000000	108908.89970637
521.00000000000	109267.89869333
522.00000000000	109947.14534867
523.00000000000	110956.92651932
524.00000000000	112286.55120273
525.00000000000	113902.11932335
526.00000000000	115745.69991201
527.00000000000	117737.34503835
528.00000000000	119776.60327147
529.00000000000	121748.31542195
530.00000000000	123528.44873316
531.00000000000	124991.22149588
532.00000000000	126016.76658469
533.00000000000	126498.70780217
534.00000000000	126351.24308764
535.00000000000	125514.34065147
536.00000000000	123958.32702935
537.00000000000	121685.77165837
538.00000000000	118731.42079287
539.00000000000	115159.93601162
540.00000000000	111061.69487555
541.00000000000	106547.13503486
542.00000000000	101739.25628360
543.00000000000	96766.582420260
544.00000000000	91755.366429340
545.00000000000	86822.570459046
546.00000000000	82069.887891785
547.00000000000	77579.279383868
548.00000000000	73410.298751169
549.00000000000	69598.835666810
550.00000000000	66158.381335226
551.00000000000	63082.297866859
552.00000000000	60347.530199923
553.00000000000	57919.088858267
554.00000000000	55754.950092006
555.00000000000	53810.924701188
556.00000000000	52044.704716644
557.00000000000	50419.598478940
558.00000000000	48906.842877687
559.00000000000	47486.839230983
560.00000000000	46149.237680742
561.00000000000	44892.007669874
562.00000000000	43719.790743907
563.00000000000	42641.428177703
564.00000000000	41667.777042499
565.00000000000	40809.267864397
566.00000000000	40073.918688237
567.00000000000	39465.912212013
568.00000000000	38984.837027030
569.00000000000	38625.693537674
570.00000000000	38379.293444237
571.00000000000	38233.572898656
572.00000000000	38174.933102748
573.00000000000	38189.818973596
574.00000000000	38266.165891082
575.00000000000	38394.612546542
576.00000000000	38569.353211587
577.00000000000	38788.230121395
578.00000000000	39052.761004762
579.00000000000	39367.409092723
580.00000000000	39738.619377834
581.00000000000	40173.635868808
582.00000000000	40679.336883889
583.00000000000	41261.216452417
584.00000000000	41922.396676445
585.00000000000	42663.438902096
586.00000000000	43482.234551936
587.00000000000	44374.399462892
588.00000000000	45333.988616181
589.00000000000	46354.396188309
590.00000000000	47429.414451786
591.00000000000	48553.863460753
592.00000000000	49724.435540712
593.00000000000	50939.912035235
594.00000000000	52200.964936086
595.00000000000	53509.531572265
596.00000000000	54867.754596438
597.00000000000	56276.729013773
598.00000000000	57734.661585605
599.00000000000	59235.618349289
600.00000000000	60768.078530968
601.00000000000	62313.970803873
602.00000000000	63848.214823613
603.00000000000	65338.892841717
604.00000000000	66748.192547863
605.00000000000	68033.599598935
606.00000000000	69150.228595995
607.00000000000	70053.189176065
608.00000000000	70700.279692006
609.00000000000	71054.659813539
610.00000000000	71087.344564099
611.00000000000	70779.316204846
612.00000000000	70122.739541622
613.00000000000	69121.943847473
614.00000000000	67793.317326695
615.00000000000	66164.492763545
616.00000000000	64272.849314859
617.00000000000	62163.420402067
618.00000000000	59886.474333372
619.00000000000	57494.691103179
620.00000000000	55040.617536449
621.00000000000	52574.131798885
622.00000000000	50140.292428356
623.00000000000	47777.694851576
624.00000000000	45517.365120549
625.00000000000	43382.255982144
626.00000000000	41387.272095762
627.00000000000	39539.873429584
628.00000000000	37841.005839215
629.00000000000	36286.315841758
630.00000000000	34867.548775049
631.00000000000	33573.930143012
632.00000000000	32393.484448126
633.00000000000	31314.206418659
634.00000000000	30324.957622974
635.00000000000	29416.151070550
636.00000000000	28580.155955269
637.00000000000	27811.486951840
